Saint John’s	17.11717	-61.84573	17	-61
The Valley	18.21704	-63.05783	18	-63
Zárate	-34.09814	-59.02858	-34	-59
Villa Ocampo	-28.48752	-59.35515	-28	-59
Villa Lugano	-34.67907	-58.47263	-34	-58
Villaguay	-31.8653	-59.02689	-31	-59
Villa Gesell	-37.26394	-56.97304	-37	-56
Tigre	-34.42603	-58.57962	-34	-58
Tandil	-37.32167	-59.13316	-37	-59
San Vicente	-26.61667	-54.13333	-26	-54
Santo Tomé	-28.54939	-56.04077	-28	-56
Santa Elena	-30.94768	-59.78696	-30	-59
San Pedro	-26.62207	-54.10842	-26	-54
San Luis del Palmar	-27.5079	-58.55454	-27	-58
San Lorenzo	-28.13306	-58.76733	-28	-58
San Javier	-30.57781	-59.9317	-30	-59
San Isidro	-34.47145	-58.50776	-34	-58
Saladas	-28.25384	-58.62591	-28	-58
Retiro	-34.58333	-58.38333	-34	-58
Resistencia	-27.46056	-58.98389	-27	-58
Reconquista	-29.15	-59.65	-29	-59
Quilmes	-34.72418	-58.25265	-34	-58
Puerto Rico	-26.79598	-55.02402	-26	-55
Puerto Iguazú	-25.59912	-54.57355	-25	-54
Puerto Esperanza	-26.01517	-54.67306	-26	-54
Puerto Eldorado	-26.40843	-54.69463	-26	-54
Posadas	-27.36708	-55.89608	-27	-55
Pontevedra	-34.74974	-58.68697	-34	-58
Pirané	-25.73239	-59.10879	-25	-59
Paso de los Libres	-29.71251	-57.08771	-29	-57
Oberá	-27.48706	-55.11994	-27	-55
Necochea	-38.54726	-58.73675	-38	-58
Morón	-34.65344	-58.61975	-34	-58
Monte Caseros	-30.25359	-57.63626	-30	-57
Montecarlo	-26.5662	-54.757	-26	-54
Mercedes	-34.65145	-59.43068	-34	-59
Mercedes	-29.18186	-58.07895	-29	-58
Mar del Plata	-38.00228	-57.55754	-38	-57
Luján	-34.57028	-59.105	-34	-59
La Plata	-34.92145	-57.95453	-34	-57
La Paz	-30.74485	-59.64566	-30	-59
Jardín América	-27.04346	-55.22698	-27	-55
Gualeguaychú	-33.00937	-58.51722	-33	-58
Gualeguay	-33.14156	-59.30966	-33	-59
Goya	-29.14003	-59.26256	-29	-59
Gobernador Ingeniero Valentín Virasoro	-28.05	-56.03333	-28	-56
General José de San Martín	-26.53743	-59.34158	-26	-59
Garupá	-27.48171	-55.82921	-27	-55
Formosa	-26.17753	-58.17814	-26	-58
Fontana	-27.41813	-59.02392	-27	-59
Federal	-30.95465	-58.78326	-30	-58
Esquina	-30.01444	-59.52719	-30	-59
El Soberbio	-27.29847	-54.19877	-27	-54
Dolores	-36.31321	-57.67918	-36	-57
Curuzú Cuatiá	-29.79171	-58.0546	-29	-58
Corrientes	-27.4806	-58.8341	-27	-58
Concordia	-31.39296	-58.02089	-31	-58
Concepción del Uruguay	-32.48249	-58.23722	-32	-58
Colegiales	-34.57365	-58.44924	-34	-58
Chajarí	-30.75048	-57.97962	-30	-57
Campana	-34.16874	-58.95914	-34	-58
Buenos Aires	-34.61315	-58.37723	-34	-58
Barranqueras	-27.48299	-58.93579	-27	-58
Azul	-36.77698	-59.85854	-36	-59
Avellaneda	-29.11761	-59.65834	-29	-59
Aristóbulo del Valle	-27.09625	-54.89626	-27	-54
Zapala	-38.89916	-70.05442	-38	-70
Yerba Buena	-26.81667	-65.31667	-26	-65
Villa Regina	-39.1	-67.06667	-39	-67
Villa Paula de Sarmiento	-31.4933	-68.53838	-31	-68
Villa Nueva	-32.43293	-63.24763	-32	-63
Villa María	-32.40751	-63.24016	-32	-63
Villa Dolores	-31.94585	-65.18958	-31	-65
Villa Constitución	-33.22778	-60.3297	-33	-60
Villa Carlos Paz	-31.42414	-64.49778	-31	-64
Villa Ángela	-27.57383	-60.71526	-27	-60
Villa Allende	-31.29458	-64.29538	-31	-64
Viedma	-40.81345	-62.99668	-40	-62
Victoria	-32.61841	-60.15478	-32	-60
Vera	-29.4593	-60.21261	-29	-60
Venado Tuerto	-33.74556	-61.96885	-33	-61
Veinticinco de Mayo	-35.4323	-60.17271	-35	-60
Ushuaia	-54.8	-68.3	-54	-68
Unquillo	-31.23073	-64.31615	-31	-64
Tres Isletas	-26.34067	-60.43207	-26	-60
Tres Arroyos	-38.37394	-60.27978	-38	-60
Trelew	-43.24895	-65.30505	-43	-65
Termas de Río Hondo	-27.49362	-64.85972	-27	-64
Tartagal	-22.51637	-63.80131	-22	-63
Tafí Viejo	-26.73201	-65.25921	-26	-65
Sunchales	-30.94404	-61.56148	-30	-61
Santo Tomé	-31.66274	-60.7653	-31	-60
Santiago del Estero	-27.79511	-64.26149	-27	-64
Santa Rosa	-36.61667	-64.28333	-36	-64
Santa Lucía	-31.53987	-68.49503	-31	-68
Santa Fe de la Vera Cruz	-31.63333	-60.7	-31	-60
San Salvador de Jujuy	-24.19457	-65.29712	-24	-65
San Ramón de la Nueva Orán	-23.13705	-64.32426	-23	-64
San Rafael	-34.61772	-68.33007	-34	-68
San Pedro	-24.23127	-64.86614	-24	-64
San Nicolás de los Arroyos	-33.33578	-60.22523	-33	-60
San Miguel de Tucumán	-26.82414	-65.2226	-26	-65
San Martín de los Andes	-40.15789	-71.35337	-40	-71
San Martín	-33.08103	-68.46814	-33	-68
San Luis	-33.29501	-66.33563	-33	-66
San Justo	-30.78913	-60.59189	-30	-60
San Juan	-31.5375	-68.53639	-31	-68
San José de Jáchal	-30.24057	-68.74693	-30	-68
San Jorge	-31.89618	-61.85984	-31	-61
San Francisco	-31.42797	-62.08266	-31	-62
San Fernando del Valle de Catamarca	-28.46957	-65.78524	-28	-65
San Antonio Oeste	-40.73193	-64.94769	-40	-64
Salta	-24.7859	-65.41166	-24	-65
Rufino	-34.26827	-62.71262	-34	-62
Rosario	-32.94682	-60.63932	-32	-60
Río Tercero	-32.17301	-64.11405	-32	-64
Río Segundo	-31.6526	-63.9099	-31	-63
Río Gallegos	-51.62261	-69.21813	-51	-69
Río Cuarto	-33.13067	-64.34992	-33	-64
Río Ceballos	-31.16486	-64.32241	-31	-64
Rawson	-43.30016	-65.10228	-43	-65
Rafaela	-31.25033	-61.4867	-31	-61
Quitilipi	-26.86913	-60.21683	-26	-60
Punta Alta	-38.87588	-62.07359	-38	-62
Puerto Madryn	-42.7692	-65.03851	-42	-65
Presidencia Roque Sáenz Peña	-26.78522	-60.43876	-26	-60
Pocito	-31.68333	-68.58333	-31	-68
Plottier	-38.96667	-68.23333	-38	-68
Pergamino	-33.88995	-60.57357	-33	-60
Pérez	-32.99835	-60.76791	-32	-60
Paraná	-31.73197	-60.5238	-31	-60
Palpalá	-24.25647	-65.21163	-24	-65
Olavarría	-36.89272	-60.32254	-36	-60
Nueve de Julio	-35.44437	-60.88313	-35	-60
Neuquén	-38.95161	-68.0591	-38	-68
Morteros	-30.71164	-61.99862	-30	-61
Monteros	-27.16741	-65.49832	-27	-65
Mendoza	-32.89084	-68.82717	-32	-68
Marcos Juárez	-32.6978	-62.10672	-32	-62
Machagai	-26.92614	-60.04955	-26	-60
Lincoln	-34.86649	-61.5302	-34	-61
Libertador General San Martín	-23.80644	-64.78757	-23	-64
Las Breñas	-27.08966	-61.08161	-27	-61
La Rioja	-29.41105	-66.85067	-29	-66
La Falda	-31.08841	-64.48987	-31	-64
La Calera	-31.34377	-64.33529	-31	-64
Laboulaye	-34.12662	-63.39119	-34	-63
Junín	-34.58382	-60.94332	-34	-60
Joaquín V. González	-25.08333	-64.18333	-25	-64
Jesús María	-30.98153	-64.09424	-30	-64
Granadero Baigorria	-32.85683	-60.71754	-32	-60
Gobernador Gálvez	-33.03016	-60.64045	-33	-60
General Roca	-39.03333	-67.58333	-39	-67
General Pinedo	-27.31667	-61.28333	-27	-61
General Pico	-35.65662	-63.75682	-35	-63
General Enrique Mosconi	-22.59588	-63.81255	-22	-63
Gálvez	-32.02927	-61.22103	-32	-61
Firmat	-33.45937	-61.4832	-33	-61
Famaillá	-27.05413	-65.40329	-27	-65
Esquel	-42.91147	-71.31947	-42	-71
Esperanza	-31.4488	-60.93173	-31	-60
Embarcación	-23.20898	-64.09605	-23	-64
Embalse	-32.18	-64.41809	-32	-64
El Bolsón	-41.96051	-71.53336	-41	-71
Diamante	-32.06641	-60.63837	-32	-60
Deán Funes	-30.42036	-64.34984	-30	-64
Cutral-Có	-38.93424	-69.23052	-38	-69
Cruz del Eje	-30.72644	-64.80387	-30	-64
Crespo	-32.02873	-60.30658	-32	-60
Cosquín	-31.24508	-64.46563	-31	-64
Coronel Suárez	-37.45467	-61.93343	-37	-61
Coronda	-31.97263	-60.91983	-31	-60
Córdoba	-31.4135	-64.18105	-31	-64
Comodoro Rivadavia	-45.86413	-67.49656	-45	-67
Cipolletti	-38.93392	-67.99032	-38	-67
Cinco Saltos	-38.82225	-68.06293	-38	-68
Chivilcoy	-34.89566	-60.01667	-34	-60
Chimbas	-31.48333	-68.53333	-31	-68
Chilecito	-29.16195	-67.4974	-29	-67
Charata	-27.21438	-61.18795	-27	-61
Chacabuco	-34.64167	-60.47389	-34	-60
Centenario	-38.82955	-68.1318	-38	-68
Caucete	-31.65179	-68.28105	-31	-68
Catriel	-37.87907	-67.7956	-37	-67
Castelli	-25.94679	-60.61947	-25	-60
Casilda	-33.04417	-61.16806	-33	-61
Carcarañá	-32.85679	-61.15331	-32	-61
Capitán Bermúdez	-32.82262	-60.71852	-32	-60
Cañada de Gómez	-32.81636	-61.39493	-32	-61
Caleta Olivia	-46.43929	-67.52814	-46	-67
Bell Ville	-32.62591	-62.68873	-32	-62
Bella Vista	-27.03424	-65.30196	-27	-65
Bahía Blanca	-38.71959	-62.27243	-38	-62
Arroyo Seco	-33.15489	-60.50863	-33	-60
Arroyito	-31.42022	-63.05002	-31	-63
Añatuya	-28.46064	-62.83472	-28	-62
Alta Gracia	-31.65292	-64.42826	-31	-64
Allen	-38.97736	-67.82714	-38	-67
Alderetes	-26.81667	-65.13333	-26	-65
Albardón	-31.43722	-68.52556	-31	-68
Aguilares	-27.4338	-65.61427	-27	-65
Villa Santa Rita	-34.61082	-58.481	-34	-58
Villa Mercedes	-33.67571	-65.45783	-33	-65
San Carlos de Bariloche	-41.14557	-71.30822	-41	-71
Oranjestad	12.52398	-70.02703	12	-70
Babijn	12.53333	-69.98333	12	-69
Angochi	12.51667	-69.95	12	-69
Bridgetown	13.1	-59.61667	13	-59
Gustavia	17.89618	-62.84978	17	-62
Yacuiba	-22.01643	-63.67753	-22	-63
Warnes	-17.5	-63.16667	-17	-63
Villazón	-22.08659	-65.59422	-22	-65
Villa Yapacaní	-17.4	-63.83333	-17	-63
Villamontes	-21.26235	-63.46903	-21	-63
Tupiza	-21.44345	-65.71875	-21	-65
Trinidad	-14.83333	-64.9	-14	-64
Tarija	-21.53549	-64.72956	-21	-64
Sucre	-19.03332	-65.26274	-19	-65
Santiago del Torno	-17.98674	-63.38118	-17	-63
Santa Cruz de la Sierra	-17.78629	-63.18117	-17	-63
San Ignacio de Velasco	-16.36667	-60.95	-16	-60
San Borja	-14.81667	-66.85	-14	-66
Riberalta	-11.00654	-66.06312	-11	-66
Punata	-17.54234	-65.83472	-17	-65
Potosí	-19.58361	-65.75306	-19	-65
Oruro	-17.98333	-67.15	-17	-67
Montero	-17.33866	-63.2505	-17	-63
Mizque	-17.94101	-65.34016	-17	-65
Llallagua	-18.42426	-66.58388	-18	-66
La Paz	-16.5	-68.15	-16	-68
Huanuni	-18.289	-66.83583	-18	-66
Guayaramerín	-10.83676	-65.36136	-10	-65
Cotoca	-17.81667	-63.05	-17	-63
Cochabamba	-17.3895	-66.1568	-17	-66
Cobija	-11.02671	-68.76918	-11	-68
Camiri	-20.03849	-63.51833	-20	-63
Kralendijk	12.15	-68.26667	12	-68
Vitória do Mearim	-3.46222	-44.87056		-44
Vitória de Santo Antão	-8.11806	-35.29139		-35
Viseu	-1.19667	-46.14		-46
Conde	-7.25972	-34.9075		-34
Vigia	-0.85833	-48.14167		-48
Viçosa do Ceará	-3.56222	-41.09222		-41
Viçosa	-9.37139	-36.24083		-36
Viana	-3.22028	-45.00361		-45
Várzea Alegre	-5.35	-40.38333		-40
Varjota	-4.19444	-40.47667		-40
Vargem Grande	-3.54306	-43.91583		-43
Valença do Piauí	-6.4075	-41.74556		-41
União dos Palmares	-9.16278	-36.03194		-36
União	-4.58583	-42.86417		-42
Tuntum	-5.25806	-44.64889		-44
Tucuruí	-3.76585	-49.67923		-49
Tucumã	-0.18333	-50.05		-50
Trindade	-7.76194	-40.26778		-40
Trairi	-3.27778	-39.26889		-39
Toritama	-8.00667	-36.05667		-36
Tomé Açu	-2.41889	-48.15222		-48
Timon	-5.09417	-42.83667		-42
Timbiras	-4.25528	-43.94056		-43
Timbaúba	-7.50528	-35.31833		-35
Tianguá	-3.73222	-40.99167		-40
Teresina	-5.08917	-42.80194		-42
São João dos Inhamuns	-6	-40.28333		-40
Tamandaré	-8.75632	-35.09995		-35
Tabira	-7.59083	-37.53944		-37
Surubim	-7.83306	-35.75472		-35
Sousa	-6.75917	-38.22806		-38
Soure	-0.71667	-48.52333		-48
Solânea	-6.755	-35.54		-35
Sobral	-3.68611	-40.34972		-40
Sirinhaém	-8.59083	-35.11611		-35
Sertânia	-8.07361	-37.26444		-37
Serra Talhada	-7.99194	-38.29833		-38
Senador Pompeu	-5.58806	-39.37167		-39
Satuba	-9.56333	-35.82444		-35
São Raimundo Nonato	-9.01528	-42.69944		-42
São Miguel dos Campos	-9.78111	-36.09361		-36
São Miguel do Guamá	-1.62667	-47.48333		-47
São Mateus do Maranhão	-4.04167	-44.475		-44
São Luís do Quitunde	-9.31833	-35.56111		-35
São Luís	-2.52972	-44.30278		-44
São Lourenço da Mata	-8.00222	-35.01833		-35
São José do Egito	-7.47889	-37.27444		-37
São José de Ribamar	-2.56194	-44.05417		-44
São José de Mipibu	-6.07472	-35.23778		-35
São João dos Patos	-6.495	-43.70222		-43
São Gonçalo do Amarante	-3.60722	-38.96833		-38
São Félix do Xingu	-6.64472	-51.995		-51
São Domingos do Maranhão	-5.57583	-44.38528		-44
São Bento	-6.28333	-37.75		-37
São Bento	-2.69583	-44.82139		-44
Santa Rita	-7.11389	-34.97806		-34
Santarém	-2.44306	-54.70833		-54
Santa Quitéria do Maranhão	-3.51556	-42.54667		-42
Santa Quitéria	-4.33194	-40.15667		-40
Santana do Ipanema	-9.37833	-37.24528		-37
Santa Luzia	-7.64265	-47.21738		-47
Santa Inês	-3.66667	-45.38		-45
Santa Helena	-2.23111	-45.3		-45
